,Attribute,Sample Value,Data Type
45,results_companyOwnersAndPrincipals_0_taxIdType_code,1,<class 'str'>
46,results_companyOwnersAndPrincipals_0_taxIdType_definition,Federal Tax ID,<class 'str'>
47,results_companyOwnersAndPrincipals_0_address_street,535 ANTON BLVD,<class 'str'>
48,results_companyOwnersAndPrincipals_0_address_city,Costa Mesa,<class 'str'>
49,results_companyOwnersAndPrincipals_0_address_state,CA,<class 'str'>
50,results_companyOwnersAndPrincipals_0_address_zip,92626,<class 'str'>
51,results_companyOwnersAndPrincipals_0_address_zipExtension,1947,<class 'str'>
52,results_companyOwnersAndPrincipals_0_phone,8654065312,<class 'str'>
53,results_companyOwnersAndPrincipals_0_percentOfFinancialObligation,58,<class 'int'>
54,results_companyOwnersAndPrincipals_0_nameAddressChangeIndicator,True,<class 'bool'>
55,results_companyOwnersAndPrincipals_0_ownerIsGuarantorIndicator,True,<class 'bool'>
56,results_contactsAndTitles_0_sequenceNumber,1,<class 'int'>
57,results_contactsAndTitles_0_cid,9081024576,<class 'str'>
58,results_contactsAndTitles_0_title,CEO,<class 'str'>
59,results_contactsAndTitles_0_contactActivityIndicator,True,<class 'bool'>
60,results_contactsAndTitles_0_contactSupplier,Experian,<class 'str'>
61,results_contactsAndTitles_0_firstName,Jon,<class 'str'>
62,results_contactsAndTitles_0_middleName,Jon,<class 'str'>
63,results_contactsAndTitles_0_lastName,Consumer,<class 'str'>
64,results_contactsBusinessAffiliations_0_sequenceNumber,1,<class 'int'>
65,results_contactsBusinessAffiliations_0_cid,9081024576,<class 'str'>
66,results_contactsBusinessAffiliations_0_title,CEO,<class 'str'>
67,results_contactsBusinessAffiliations_0_contactActivityIndicator,True,<class 'bool'>
68,results_contactsBusinessAffiliations_0_contactSupplier,Experian,<class 'str'>
69,results_contactsBusinessAffiliations_0_firstName,Jon,<class 'str'>
70,results_contactsBusinessAffiliations_0_middleName,Jon,<class 'str'>
71,results_contactsBusinessAffiliations_0_lastName,Consumer,<class 'str'>
72,results_contactsBusinessAffiliations_0_bin,800914632,<class 'str'>
73,results_contactsBusinessAffiliations_0_businessName,Experian,<class 'str'>
74,results_contactsBusinessAffiliations_0_address_street,535 ANTON BLVD,<class 'str'>
75,results_contactsBusinessAffiliations_0_address_city,Costa Mesa,<class 'str'>
76,results_contactsBusinessAffiliations_0_address_state,CA,<class 'str'>
77,results_contactsBusinessAffiliations_0_address_zip,92626,<class 'str'>
78,results_contactsBusinessAffiliations_0_address_zipExtension,1947,<class 'str'>
